cancer,method,n_synth,seed,accuracy,macro_f1,weighted_f1,roc_auc_ovr,class_0_f1,class_1_f1,class_2_f1,class_3_f1,class_4_f1,mmd,correlation_score,training_time_seconds,timestamp
coad,borderline,62,46,0.8529411764705882,0.8426190476190477,0.8516246498599439,0.9905354141111262,0.8,0.88,0.8333333333333334,0.8571428571428571,,,,0.30590248107910156,2026-05-06T21:24:08
prad,random,191,42,0.9,0.6706349206349207,0.8916825396825396,0.9639517914653785,0.9777777777777777,0.0,0.9047619047619048,0.8,,,,0.7237043380737305,2026-05-06T21:24:10
prad,random,191,43,0.86,0.6347402597402598,0.8546753246753247,0.9508061594202899,0.9545454545454546,0.0,0.8571428571428571,0.7272727272727273,,,,0.8613677024841309,2026-05-06T21:24:11
prad,random,191,44,0.82,0.5866217116217116,0.8244388944388943,0.9474240136876007,0.9545454545454546,0.0,0.8205128205128205,0.5714285714285714,,,,0.5230221748352051,2026-05-06T21:24:12
prad,random,191,45,0.84,0.6049825174825175,0.8406293706293707,0.9389246175523349,0.9545454545454546,0.0,0.85,0.6153846153846154,,,,0.5469613075256348,2026-05-06T21:24:14
prad,random,191,46,0.84,0.5819444444444444,0.8397777777777777,0.954903381642512,0.9777777777777777,0.0,0.85,0.5,,,,0.6185581684112549,2026-05-06T21:24:15
prad,smote,191,42,0.86,0.6302854122621564,0.8460887949260044,0.9385698470209339,0.9302325581395349,0.0,0.8636363636363636,0.7272727272727273,,,,0.5448737144470215,2026-05-06T21:24:16
prad,smote,191,43,0.84,0.6049825174825175,0.8406293706293707,0.9055641103059582,0.9545454545454546,0.0,0.85,0.6153846153846154,,,,0.45943427085876465,2026-05-06T21:24:17
prad,smote,191,44,0.84,0.6049825174825175,0.8406293706293707,0.9438129025764895,0.9545454545454546,0.0,0.85,0.6153846153846154,,,,0.5342695713043213,2026-05-06T21:24:19
prad,smote,191,45,0.84,0.612620103473762,0.8374648928307467,0.9526258051529791,0.9545454545454546,0.0,0.8292682926829268,0.6666666666666666,,,,0.5180091857910156,2026-05-06T21:24:20
prad,smote,191,46,0.82,0.5866217116217116,0.8244388944388943,0.9371462359098228,0.9545454545454546,0.0,0.8205128205128205,0.5714285714285714,,,,0.532160758972168,2026-05-06T21:24:21
prad,borderline,91,42,0.84,0.5939935064935065,0.8362337662337661,0.9630142914653783,0.9545454545454546,0.0,0.85,0.5714285714285714,,,,0.420623779296875,2026-05-06T21:24:22
prad,borderline,91,43,0.84,0.5939935064935065,0.8362337662337661,0.9426539855072464,0.9545454545454546,0.0,0.85,0.5714285714285714,,,,0.37673449516296387,2026-05-06T21:24:24
prad,borderline,91,44,0.84,0.5939935064935065,0.8362337662337661,0.9219313607085347,0.9545454545454546,0.0,0.85,0.5714285714285714,,,,0.42716264724731445,2026-05-06T21:24:25
prad,borderline,91,45,0.86,0.6232517482517482,0.8544755244755247,0.9220018115942029,0.9545454545454546,0.0,0.8717948717948718,0.6666666666666666,,,,0.38082408905029297,2026-05-06T21:24:26
prad,borderline,91,46,0.82,0.5827323555627583,0.816757150960214,0.9470571658615137,0.9302325581395349,0.0,0.8292682926829268,0.5714285714285714,,,,0.40596532821655273,2026-05-06T21:24:27
brca,mixup,686,42,0.8243243243243243,0.7328004003931572,0.8168334129458606,0.9528383490148983,0.9811320754716981,0.8571428571428571,0.8590604026845637,0.6333333333333333,0.3333333333333333,,,1.4634649753570557,2026-05-06T21:24:48
brca,mixup,686,43,0.8378378378378378,0.7295994201876554,0.8223235296764709,0.9617113481021681,0.9454545454545454,0.8571428571428571,0.8846153846153846,0.6274509803921569,0.3333333333333333,,,1.7211358547210693,2026-05-06T21:24:50
brca,mixup,686,44,0.8445945945945946,0.7992264150943396,0.8355930222675506,0.9616626165429469,0.9811320754716981,0.8333333333333334,0.875,0.64,0.6666666666666666,,,1.5485992431640625,2026-05-06T21:24:53
brca,mixup,686,45,0.8513513513513513,0.7789021520557908,0.8393586501403212,0.9450113375657206,0.9811320754716981,0.8,0.8888888888888888,0.6530612244897959,0.5714285714285714,,,1.7099494934082031,2026-05-06T21:24:55
brca,mixup,686,46,0.8378378378378378,0.8162295397187839,0.8304107728086216,0.9595539356032285,0.9811320754716981,0.88,0.8662420382165605,0.6037735849056604,0.75,,,1.6132171154022217,2026-05-06T21:24:58
